Model,Size,Time,Partcp_Acc_p15,Command_Acc_p15,Partcp_Acc_p1,Command_Acc_p1,Partcp_Acc_p2,Command_Acc_p2,Partcp_Acc_p3,Command_Acc_p3,Partcp_Acc_p4,Command_Acc_p4,Partcp_Acc_p5,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8
Group,10&s1_20&s2_30,56.44749151,0.9705,0.965,0.991,0.964,1,0.963,0.9217,0.9478,0.945,0.9725,1,0.98,0.67,0.456,0.396
Group,10&s1_20&s2_30,54.57886568,0.9816,0.9724,1,0.973,1,0.9722,0.9739,0.9565,0.9541,0.9725,0.98,0.99,0.65,0.448,0.2475
Group,10&s1_20&s2_30,54.77587113,0.9761,0.9724,0.991,0.964,1,0.963,0.9652,0.9652,0.945,0.9817,0.98,0.99,0.73,0.488,0.2871
Group,10&s1_20&s2_30,53.71429743,0.9797,0.9687,0.991,0.955,1,0.963,0.9826,0.9565,0.9358,0.9817,0.99,0.99,0.69,0.456,0.3366
Group,10&s1_20&s2_30,54.40759567,0.9761,0.9742,1,0.973,1,0.9722,0.9739,0.9565,0.9174,0.9817,0.99,0.99,0.68,0.44,0.2673
Group,10&s1_20&s2_30,49.08599493,0.9779,0.9687,0.991,0.973,1,0.9537,0.9565,0.9565,0.9541,0.9817,0.99,0.98,0.59,0.44,0.297
Group,10&s1_20&s2_30,51.79961693,0.9779,0.9724,0.991,0.982,1,0.9537,0.9478,0.9565,0.9541,0.9817,1,0.99,0.7,0.488,0.2673
Group,10&s1_20&s2_30,52.06654686,0.9779,0.9742,1,0.964,1,0.9722,0.9478,0.9652,0.9541,0.9725,0.99,1,0.65,0.448,0.3564
Group,6,39.95470156,0.9429,0.9171,0.991,0.9459,0.8889,0.8148,0.9478,0.9304,0.8991,0.9358,0.99,0.96,0.6,0.408,0.3366
Group,6,38.33347367,0.9484,0.9355,0.982,0.9459,0.8981,0.8611,0.9391,0.9478,0.9266,0.9541,1,0.97,0.6,0.448,0.2673
Group,6,36.40656239,0.9558,0.9319,0.964,0.9459,0.9074,0.8519,0.9652,0.9478,0.9541,0.945,0.99,0.97,0.52,0.464,0.3069
Group,6,34.92700534,0.9374,0.919,0.991,0.9279,0.8611,0.8333,0.9565,0.9391,0.8899,0.9266,0.99,0.97,0.5,0.448,0.3366
Group,6,34.55691229,0.9558,0.9171,1,0.9369,0.9074,0.8056,0.9478,0.9478,0.9358,0.9266,0.99,0.97,0.51,0.472,0.3069
Group,6,36.3582894,0.9484,0.9116,0.991,0.9189,0.8611,0.7963,0.9826,0.9478,0.9083,0.9358,1,0.96,0.47,0.432,0.2871
Group,6,35.75337758,0.9595,0.9134,0.991,0.9189,0.9167,0.787,0.9739,0.9478,0.9174,0.9633,1,0.95,0.45,0.416,0.3168
Group,6,35.38353314,0.9558,0.9319,0.982,0.9459,0.9074,0.8519,0.9652,0.9391,0.9266,0.9541,1,0.97,0.56,0.48,0.3267
Group,6,35.4889192,0.9576,0.9116,0.982,0.9369,0.9259,0.7963,0.9565,0.9217,0.9358,0.9358,0.99,0.97,0.54,0.496,0.297
Group,6,35.01793461,0.965,0.9171,0.991,0.9279,0.9074,0.8148,0.9739,0.9391,0.9633,0.9358,0.99,0.97,0.53,0.392,0.3168
Group,20,62.89188956,0.9945,0.9779,0.991,0.982,0.9907,0.9259,1,0.9913,0.9908,0.9908,1,1,0.67,0.472,0.3168
Group,20,61.56344811,0.9945,0.9797,1,0.973,0.9907,0.9352,0.9913,1,0.9908,0.9908,1,1,0.7,0.44,0.2871
Group,20,59.94747512,0.989,0.9797,0.991,0.973,0.9815,0.9537,0.9913,0.9826,0.9817,0.9908,1,1,0.71,0.416,0.2277
Group,20,60.01462281,0.9926,0.9705,0.991,0.964,0.9907,0.9167,0.9913,0.9913,0.9908,0.9908,1,0.99,0.71,0.448,0.2772
Group,20,48.84939646,0.9908,0.9687,0.991,0.964,0.9815,0.9167,0.9913,0.9826,0.9908,0.9817,1,1,0.66,0.464,0.2178
Group,20,54.66163052,0.9871,0.9724,0.991,0.973,0.9722,0.9167,0.9913,0.9826,0.9817,0.9908,1,1,0.68,0.424,0.2475
Group,20,55.82674897,0.989,0.9724,0.991,0.964,0.9907,0.9352,0.9913,0.9826,0.9725,0.9817,1,1,0.71,0.448,0.3465
Group,20,55.91852489,0.9945,0.9761,0.991,0.964,1,0.9352,0.9913,0.9913,0.9908,0.9908,1,1,0.7,0.44,0.3267
Group,20,55.30583999,0.9926,0.9761,0.982,0.973,1,0.9259,0.9913,0.9913,0.9908,0.9908,1,1,0.7,0.48,0.2673
Group,20,55.63640236,0.9908,0.9742,0.991,0.973,0.9815,0.9167,0.9913,0.9913,0.9908,0.9908,1,1,0.71,0.472,0.2871
Group,20&s2_30,64.75261671,0.9926,0.9816,0.982,0.982,1,0.9444,1,0.9913,0.9817,0.9908,1,1,0.7,0.456,0.2574
Group,20&s2_30,71.01688484,0.9945,0.9816,1,0.973,1,0.963,0.9913,0.9826,0.9817,0.9908,1,1,0.7,0.464,0.2673
Group,20&s2_30,56.9001104,0.989,0.9779,0.973,0.955,1,0.963,1,0.9826,0.9725,0.9908,1,1,0.69,0.528,0.3267
Group,20&s2_30,66.92655308,0.9926,0.9834,0.991,0.973,0.9907,0.963,0.9913,0.9913,0.9908,0.9908,1,1,0.73,0.456,0.2673
Group,20&s2_30,66.70320174,0.9926,0.9816,0.982,0.964,1,0.963,0.9913,0.9913,0.9908,0.9908,1,1,0.69,0.424,0.2871
Group,20&s2_30,65.67257593,0.9908,0.9834,0.973,0.982,1,0.9537,0.9913,0.9913,0.9908,0.9908,1,1,0.68,0.424,0.297
Group,20&s2_30,62.74043482,0.9926,0.9816,0.982,0.964,1,0.9722,0.9913,0.9913,0.9908,0.9817,1,1,0.66,0.424,0.3168
Group,20&s2_30,60.70664167,0.9945,0.9779,0.991,0.973,1,0.9444,1,0.9913,0.9817,0.9817,1,1,0.61,0.464,0.3069
Group,20&s2_30,60.41030159,0.9926,0.9816,0.982,0.982,1,0.9444,0.9913,0.9913,0.9908,0.9908,1,1,0.68,0.48,0.3267
Group,20&s2_30,56.02975805,0.9945,0.9761,0.991,0.982,1,0.9259,0.9913,0.9913,0.9908,0.9817,1,1,0.73,0.44,0.2772
