Model,Time,Command_Acc_p15,Command_Acc_p1,Command_Acc_p2,Command_Acc_p3,Command_Acc_p4,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8,Size
Subjet_3,15.409171046689153,0.6519,0.5315,0.3704,0.9913,0.6972,0.65,0.35,0.408,0.2277,30
Subjet_3,14.525967752560973,0.6427,0.4865,0.3519,0.9913,0.6881,0.68,0.37,0.312,0.2574,30
Subjet_3,17.149453038349748,0.628,0.5225,0.3333,0.9913,0.6422,0.63,0.34,0.424,0.2475,30
Subjet_3,14.352270528674126,0.5856,0.4595,0.3056,0.9913,0.6239,0.52,0.39,0.376,0.198,30
Subjet_4,16.46482584066689,0.6446,0.5225,0.4722,0.5913,0.9908,0.65,0.25,0.336,0.2673,10
Subjet_4,13.790537299588324,0.6685,0.6306,0.46299999999999997,0.6522,0.9725,0.62,0.32,0.272,0.2673,10
Subjet_4,12.53769676014781,0.6243,0.5676,0.3704,0.6087,0.9633,0.61,0.3,0.256,0.2574,10
Subjet_4,13.03321731928736,0.6575,0.5586,0.4259,0.6783,0.9817,0.64,0.3,0.28,0.2574,10
Subjet_4,13.440982574597001,0.6354,0.4955,0.4444,0.6174,0.9817,0.64,0.25,0.248,0.2673,10
Subjet_4,13.672550135292113,0.6501,0.5676,0.4352,0.6087,0.9633,0.68,0.36,0.28800000000000003,0.2574,10
Subjet_4,14.037607507780194,0.6225,0.6216,0.3241,0.5739,0.9817,0.61,0.3,0.168,0.2673,10
Subjet_4,11.904642583802342,0.6206,0.5315,0.3796,0.5913,0.9725,0.63,0.22,0.28,0.2673,10
Subjet_4,14.447166501544414,0.6188,0.5405,0.3889,0.5391,0.9725,0.66,0.24,0.17600000000000002,0.2772,10
Subjet_4,11.003429395146668,0.6759,0.6396,0.4444,0.6348,0.9725,0.69,0.25,0.22399999999999998,0.2772,10
Subjet_4,15.694099796935914,0.6685,0.5586,0.4722,0.6,0.9817,0.74,0.22,0.2,0.3069,20
Subjet_4,16.616284769959748,0.6501,0.5586,0.3889,0.6174,0.9908,0.7,0.27,0.136,0.2772,20
Subjet_4,16.324747083708644,0.5709,0.4955,0.2778,0.4696,0.9908,0.63,0.25,0.272,0.3366,20
Subjet_4,16.026798129081723,0.6317,0.5405,0.4167,0.5478,0.9817,0.68,0.25,0.2,0.297,20
Subjet_4,14.367458545602858,0.6538,0.6216,0.4537,0.5478,0.9817,0.67,0.25,0.192,0.2772,20
Subjet_4,13.972502063028516,0.6611,0.6036,0.3796,0.6435,0.9908,0.69,0.27,0.21600000000000005,0.2574,20
Subjet_4,17.836687215603884,0.628,0.5856,0.3611,0.5478,0.9817,0.67,0.27,0.2,0.297,20
