fpr,tpr,Thresholds,Data,Train Size,Speaker Number,Positive,Method
0.604666667,0.187,0.69687265,Digit Data,40%,30,Unauthorized,flatten_1
0.604666667,0.188,0.6968726,Digit Data,40%,30,Unauthorized,flatten_1
0.6053333329999999,0.188,0.6968648000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.6053333329999999,0.19,0.6967501,Digit Data,40%,30,Unauthorized,flatten_1
0.605666667,0.19,0.6967422,Digit Data,40%,30,Unauthorized,flatten_1
0.605666667,0.191,0.6967354,Digit Data,40%,30,Unauthorized,flatten_1
0.606666667,0.191,0.6966319000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.606666667,0.192,0.6966262,Digit Data,40%,30,Unauthorized,flatten_1
0.607666667,0.192,0.69646233,Digit Data,40%,30,Unauthorized,flatten_1
0.607666667,0.193,0.6964289,Digit Data,40%,30,Unauthorized,flatten_1
0.608,0.193,0.69634485,Digit Data,40%,30,Unauthorized,flatten_1
0.608,0.194,0.696328,Digit Data,40%,30,Unauthorized,flatten_1
0.6093333329999999,0.194,0.6960107,Digit Data,40%,30,Unauthorized,flatten_1
0.6093333329999999,0.196,0.6959695,Digit Data,40%,30,Unauthorized,flatten_1
0.6103333329999999,0.196,0.69586366,Digit Data,40%,30,Unauthorized,flatten_1
0.6103333329999999,0.198,0.69579077,Digit Data,40%,30,Unauthorized,flatten_1
0.611666667,0.198,0.6956126,Digit Data,40%,30,Unauthorized,flatten_1
0.611666667,0.199,0.69556963,Digit Data,40%,30,Unauthorized,flatten_1
0.612666667,0.199,0.69542027,Digit Data,40%,30,Unauthorized,flatten_1
0.612666667,0.202,0.69536567,Digit Data,40%,30,Unauthorized,flatten_1
0.6133333329999999,0.202,0.6952602,Digit Data,40%,30,Unauthorized,flatten_1
0.6133333329999999,0.203,0.6952347,Digit Data,40%,30,Unauthorized,flatten_1
0.614,0.203,0.6951889,Digit Data,40%,30,Unauthorized,flatten_1
0.614,0.205,0.69513273,Digit Data,40%,30,Unauthorized,flatten_1
0.6153333329999999,0.205,0.6948196999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.6153333329999999,0.208,0.6946943,Digit Data,40%,30,Unauthorized,flatten_1
0.6163333329999999,0.208,0.694613,Digit Data,40%,30,Unauthorized,flatten_1
0.6163333329999999,0.209,0.69457996,Digit Data,40%,30,Unauthorized,flatten_1
0.6166666670000001,0.209,0.6945491,Digit Data,40%,30,Unauthorized,flatten_1
0.6166666670000001,0.211,0.6944231,Digit Data,40%,30,Unauthorized,flatten_1
0.6173333329999999,0.211,0.6943792,Digit Data,40%,30,Unauthorized,flatten_1
0.6173333329999999,0.213,0.69433457,Digit Data,40%,30,Unauthorized,flatten_1
0.6196666670000001,0.213,0.69402766,Digit Data,40%,30,Unauthorized,flatten_1
0.6196666670000001,0.217,0.69388187,Digit Data,40%,30,Unauthorized,flatten_1
0.62,0.217,0.6938298,Digit Data,40%,30,Unauthorized,flatten_1
0.62,0.218,0.6936798000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.623,0.218,0.69328266,Digit Data,40%,30,Unauthorized,flatten_1
0.623,0.221,0.69315755,Digit Data,40%,30,Unauthorized,flatten_1
0.6246666670000001,0.221,0.6928926999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.6246666670000001,0.223,0.6928638,Digit Data,40%,30,Unauthorized,flatten_1
0.626,0.223,0.69270796,Digit Data,40%,30,Unauthorized,flatten_1
0.626,0.224,0.69269025,Digit Data,40%,30,Unauthorized,flatten_1
