Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
0.988,0.3808789514263685,0.82948506,Digit Data,40%,5,conv5_block3_out
0.988,0.3811728395061729,0.82949907,Digit Data,40%,5,conv5_block3_out
0.986,0.3806949806949807,0.829558,Digit Data,40%,5,conv5_block3_out
0.986,0.38098918083462135,0.8296431000000001,Digit Data,40%,5,conv5_block3_out
0.986,0.3812838360402165,0.82975435,Digit Data,40%,5,conv5_block3_out
0.986,0.3815789473684211,0.82984614,Digit Data,40%,5,conv5_block3_out
0.986,0.3818745158791633,0.82991564,Digit Data,40%,5,conv5_block3_out
0.986,0.3821705426356589,0.8299257,Digit Data,40%,5,conv5_block3_out
0.986,0.3824670287044221,0.83001184,Digit Data,40%,5,conv5_block3_out
0.986,0.3827639751552795,0.8300296999999999,Digit Data,40%,5,conv5_block3_out
0.986,0.38306138306138304,0.83016473,Digit Data,40%,5,conv5_block3_out
0.986,0.3833592534992224,0.8303094000000001,Digit Data,40%,5,conv5_block3_out
0.986,0.38365758754863816,0.83033764,Digit Data,40%,5,conv5_block3_out
0.986,0.3839563862928349,0.83065236,Digit Data,40%,5,conv5_block3_out
0.986,0.3842556508183944,0.83069366,Digit Data,40%,5,conv5_block3_out
0.986,0.3845553822152886,0.83082795,Digit Data,40%,5,conv5_block3_out
0.986,0.3848555815768929,0.83084327,Digit Data,40%,5,conv5_block3_out
0.986,0.38515625,0.83088255,Digit Data,40%,5,conv5_block3_out
0.986,0.3854573885848319,0.8309465,Digit Data,40%,5,conv5_block3_out
0.986,0.3857589984350548,0.8310888000000001,Digit Data,40%,5,conv5_block3_out
0.986,0.3860610806577917,0.83112997,Digit Data,40%,5,conv5_block3_out
0.986,0.3863636363636364,0.8313058000000001,Digit Data,40%,5,conv5_block3_out
0.986,0.38666666666666666,0.8313605,Digit Data,40%,5,conv5_block3_out
0.986,0.3869701726844584,0.8314185,Digit Data,40%,5,conv5_block3_out
0.986,0.38727415553809896,0.8315334000000001,Digit Data,40%,5,conv5_block3_out
0.9840000000000001,0.3867924528301887,0.8316616,Digit Data,40%,5,conv5_block3_out
0.9840000000000001,0.3870967741935484,0.831735,Digit Data,40%,5,conv5_block3_out
0.982,0.3866141732283465,0.83208436,Digit Data,40%,5,conv5_block3_out
0.982,0.3869188337273444,0.8321415999999999,Digit Data,40%,5,conv5_block3_out
0.982,0.3872239747634069,0.8321949000000001,Digit Data,40%,5,conv5_block3_out
0.982,0.3875295974743488,0.8322003000000001,Digit Data,40%,5,conv5_block3_out
0.982,0.38783570300157977,0.8322661,Digit Data,40%,5,conv5_block3_out
0.982,0.38814229249011856,0.8323395,Digit Data,40%,5,conv5_block3_out
0.982,0.3884493670886076,0.832443,Digit Data,40%,5,conv5_block3_out
0.982,0.388756927949327,0.83257383,Digit Data,40%,5,conv5_block3_out
0.982,0.3890649762282092,0.83259904,Digit Data,40%,5,conv5_block3_out
